,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.671692 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2528512:2528768, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.672330 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2531840:2532096, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.672370 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2532096:2532352, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.672409 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2532352:2532608, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.672449 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2532608:2532864, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.672487 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2532864:2533120, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.672526 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2533120:2533376, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.672567 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2533376:2533632, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.672607 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2533632:2533888, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672650 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2533888:2534144, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672689 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2534144:2534400, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672730 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2534400:2534656, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672769 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2534656:2534912, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672807 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2534912:2535168, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672848 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2535168:2535424, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672887 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2535424:2535680, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672929 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2535680:2535936, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817824], length 256
19:05:10.672959 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2530304, win 103, options [nop,nop,TS val 2825817827 ecr 3493888789], length 0
19:05:10.673015 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2535936:2536352, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 416
19:05:10.673081 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2536352:2536608, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673145 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2536608:2536864, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673189 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2536864:2537120, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673231 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2537120:2537376, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673251 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2536352, win 56, options [nop,nop,TS val 2825817827 ecr 3493888791], length 0
19:05:10.673299 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2537376:2537792, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 416
19:05:10.673341 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2537792:2538048, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673381 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2538048:2538304, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673419 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2538304:2538560, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673458 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2538560:2538816, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673497 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2538816:2539072, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673536 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2539072:2539328, ack 1, win 502, options [nop,nop,TS val 3493888792 ecr 2825817827], length 256
19:05:10.673575 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2539328:2539584, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673613 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2539584:2539840, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673654 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2539840:2540096, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673708 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2540096:2540352, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673753 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2540352:2540608, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673794 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2540608:2540864, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673833 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2540864:2541120, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673872 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2541120:2541376, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673912 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2541376:2541632, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673953 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2541632:2541888, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.673991 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2541888:2542144, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.674032 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2542144:2542400, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.674070 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2542400:2542656, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.674111 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2542656:2542912, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.674149 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2542912:2543168, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.674192 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2543168:2543424, ack 1, win 502, options [nop,nop,TS val 3493888793 ecr 2825817827], length 256
19:05:10.674634 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2538048, win 43, options [nop,nop,TS val 2825817829 ecr 3493888792], length 0
19:05:10.674634 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2543424, win 1, options [nop,nop,TS val 2825817829 ecr 3493888792], length 0
19:05:10.727056 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2543424, win 267, options [nop,nop,TS val 2825817881 ecr 3493888792], length 0
19:05:10.727112 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2543424:2544080, ack 1, win 502, options [nop,nop,TS val 3493888846 ecr 2825817881], length 656
19:05:10.727334 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2544080:2544496, ack 1, win 502, options [nop,nop,TS val 3493888846 ecr 2825817881], length 416
19:05:10.727424 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2544496:2544752, ack 1, win 502, options [nop,nop,TS val 3493888846 ecr 2825817881], length 256
19:05:10.727490 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2544752:2545008, ack 1, win 502, options [nop,nop,TS val 3493888846 ecr 2825817881], length 256
19:05:10.727538 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2545008:2545264, ack 1, win 502, options [nop,nop,TS val 3493888846 ecr 2825817881], length 256
19:05:10.727582 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2545264:2545520, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727625 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2545520:2545776, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727670 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2545776:2546032, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727710 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2546032:2546288, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727752 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2546288:2546544, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727792 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2546544:2546800, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727832 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2546800:2547056, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727873 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2547056:2547312, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727915 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2547312:2547568, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.727975 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2547568:2547824, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728021 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2547824:2548080, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728065 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2548080:2548336, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728105 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2548336:2548592, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728145 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2548592:2548848, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728186 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2548848:2549104, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728225 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2549104:2549360, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728268 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2549360:2549616, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728307 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2549616:2549872, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728347 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2549872:2550128, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728397 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2550128:2550384, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728459 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2550384:2550640, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728517 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2550640:2550896, ack 1, win 502, options [nop,nop,TS val 3493888847 ecr 2825817881], length 256
19:05:10.728575 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2550896:2551152, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728617 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2551152:2551408, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728672 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2551408:2551664, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728731 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2551664:2551920, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728779 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2551920:2552176, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728822 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2552176:2552432, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728862 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2552432:2552688, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728901 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2552688:2552944, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728944 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2552944:2553200, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.728993 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2553200:2553456, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729051 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2553456:2553712, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729098 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2553712:2553968, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729142 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2553968:2554224, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729198 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2554224:2554480, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729342 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2554480:2554736, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729407 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2554736:2554992, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729456 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2554992:2555248, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729495 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2555248:2555504, ack 1, win 502, options [nop,nop,TS val 3493888848 ecr 2825817881], length 256
19:05:10.729548 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2545008, win 255, options [nop,nop,TS val 2825817884 ecr 3493888846], length 0
19:05:10.729580 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2554736, win 179, options [nop,nop,TS val 2825817884 ecr 3493888846], length 0
19:05:10.729659 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2555504:2556096, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 592
19:05:10.729729 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2556096:2556352, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.729787 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2556352:2556608, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.729850 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2556608:2556864, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.729904 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2556352, win 167, options [nop,nop,TS val 2825817884 ecr 3493888848], length 0
19:05:10.729931 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2556864:2557120, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730041 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2557120:2557536, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 416
19:05:10.730113 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2557536:2557792, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730166 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2557792:2558048, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730207 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2558048:2558304, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730249 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2558304:2558560, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730288 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2558560:2558816, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730328 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2558816:2559072, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730367 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2559072:2559328, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730406 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2559328:2559584, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
